Epoch:  0, train_Precision: 38.63005245, train_Loss: 1.59488581
Epoch:  1, train_Precision: 50.44739278, train_Loss: 1.29767765
Epoch:  2, train_Precision: 55.19901265, train_Loss: 1.17096020
Epoch:  3, train_Precision: 57.45140389, train_Loss: 1.09749890
Epoch:  4, train_Precision: 59.79635915, train_Loss: 1.04396876
Epoch:  5, train_Precision: 60.72199938, train_Loss: 1.01712779
Epoch:  6, train_Precision: 62.07960506, train_Loss: 0.98069718
Epoch:  7, train_Precision: 65.10336316, train_Loss: 0.93555174
Epoch:  8, train_Precision: 66.39925949, train_Loss: 0.89819087
Epoch:  9, train_Precision: 65.56618328, train_Loss: 0.89244180
Epoch: 10, train_Precision: 67.97284789, train_Loss: 0.84463213
Epoch: 11, train_Precision: 69.42301759, train_Loss: 0.82874786
Epoch: 12, train_Precision: 70.41036717, train_Loss: 0.79750799
Epoch: 13, train_Precision: 69.33045356, train_Loss: 0.79322210
Epoch: 14, train_Precision: 72.10737427, train_Loss: 0.76651832
Epoch: 15, train_Precision: 70.34865782, train_Loss: 0.81464332
Epoch: 16, train_Precision: 72.35421166, train_Loss: 0.75729173
Epoch: 17, train_Precision: 72.26164764, train_Loss: 0.76092218
Epoch: 18, train_Precision: 73.80438136, train_Loss: 0.72802576
Epoch: 19, train_Precision: 73.68096267, train_Loss: 0.71743872
Epoch: 20, train_Precision: 73.98950941, train_Loss: 0.72334838
Epoch: 21, train_Precision: 73.83523604, train_Loss: 0.72855912
Epoch: 22, train_Precision: 74.29805616, train_Loss: 0.69978876
Epoch: 23, train_Precision: 75.87164455, train_Loss: 0.66874052
Epoch: 24, train_Precision: 77.10583153, train_Loss: 0.64774181
Epoch: 25, train_Precision: 76.42702869, train_Loss: 0.67057284
Epoch: 26, train_Precision: 75.90249923, train_Loss: 0.66551736
Epoch: 27, train_Precision: 77.96976242, train_Loss: 0.62038943
Epoch: 28, train_Precision: 78.06232644, train_Loss: 0.61541803
Epoch: 29, train_Precision: 77.66121567, train_Loss: 0.62191495
Epoch: 30, train_Precision: 78.52514656, train_Loss: 0.60937270
Epoch: 31, train_Precision: 78.52514656, train_Loss: 0.57177417
Epoch: 32, train_Precision: 78.83369330, train_Loss: 0.59713494
Epoch: 33, train_Precision: 79.45078679, train_Loss: 0.59398518
Epoch: 34, train_Precision: 79.63591484, train_Loss: 0.57873900
Epoch: 35, train_Precision: 80.19129898, train_Loss: 0.54640482
Epoch: 36, train_Precision: 80.62326442, train_Loss: 0.55066137
Epoch: 37, train_Precision: 80.87010182, train_Loss: 0.55164592
Epoch: 38, train_Precision: 81.27121259, train_Loss: 0.53746588
Epoch: 39, train_Precision: 81.57975933, train_Loss: 0.53865313
Epoch: 40, train_Precision: 83.24591176, train_Loss: 0.48817614
Epoch: 41, train_Precision: 82.25856217, train_Loss: 0.51541189
Epoch: 42, train_Precision: 82.78309164, train_Loss: 0.49730382
