Epoch:  0, train_Precision: 24.89972231, train_Loss: 2.67904144
Epoch:  1, train_Precision: 38.59919778, train_Loss: 1.61774716
Epoch:  2, train_Precision: 44.83184202, train_Loss: 1.41488268
Epoch:  3, train_Precision: 46.18944770, train_Loss: 1.40214784
Epoch:  4, train_Precision: 50.57081148, train_Loss: 1.30215281
Epoch:  5, train_Precision: 51.52730639, train_Loss: 1.27302378
Epoch:  6, train_Precision: 53.00833076, train_Loss: 1.22395234
Epoch:  7, train_Precision: 55.04473928, train_Loss: 1.20581712
Epoch:  8, train_Precision: 55.56926874, train_Loss: 1.15733594
Epoch:  9, train_Precision: 57.85251466, train_Loss: 1.10820570
Epoch: 10, train_Precision: 58.53131749, train_Loss: 1.11789954
Epoch: 11, train_Precision: 60.01234187, train_Loss: 1.07347158
Epoch: 12, train_Precision: 59.79635915, train_Loss: 1.05629286
Epoch: 13, train_Precision: 62.51157050, train_Loss: 0.99741472
Epoch: 14, train_Precision: 62.94353595, train_Loss: 1.00362878
Epoch: 15, train_Precision: 61.21567417, train_Loss: 1.01201378
Epoch: 16, train_Precision: 63.43721074, train_Loss: 0.94396997
Epoch: 17, train_Precision: 65.16507251, train_Loss: 0.92110330
Epoch: 18, train_Precision: 64.97994446, train_Loss: 0.91871963
Epoch: 19, train_Precision: 65.96729405, train_Loss: 0.90247107
Epoch: 20, train_Precision: 66.52267819, train_Loss: 0.87337007
Epoch: 21, train_Precision: 66.30669546, train_Loss: 0.87196630
Epoch: 22, train_Precision: 67.38660907, train_Loss: 0.82699658
Epoch: 23, train_Precision: 70.62634989, train_Loss: 0.80280187
Epoch: 24, train_Precision: 70.68805924, train_Loss: 0.80549723
Epoch: 25, train_Precision: 70.16352977, train_Loss: 0.78954972
Epoch: 26, train_Precision: 68.80592410, train_Loss: 0.80605807
Epoch: 27, train_Precision: 72.26164764, train_Loss: 0.75411781
Epoch: 28, train_Precision: 71.42857143, train_Loss: 0.78245954
Epoch: 29, train_Precision: 73.21814255, train_Loss: 0.74500619
Epoch: 30, train_Precision: 74.66831225, train_Loss: 0.71565222
